getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:16:00.976543-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2025-07-06 21:16:00.976771-0500 0x57365c   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2025-07-06 21:16:00.976903-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2025-07-06 21:16:00.977362-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2025-07-06 21:16:00.977445-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-06 21:16:00.977506-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-06 21:16:00.977568-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-07-06 21:16:00.977867-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2025-07-06 21:16:00.978061-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2025-07-06 21:16:00.978658-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
